Internals 	 minnodeR: 0 	 TSnode: 5 	 minnodeP: 8
Translation-X 1-16	0.1391878750024656	-0.08505671417673147	0.1339596256210511
Translation-Y 1-16	-0.0004481250021087235	0.23916299410362957	-0.0005596243817411473
Translation-Z 1-16	0.01965168741933654	-0.21072817712036096	0.020000250627084278
Rotation-A 1-16	-0.00018745656561827432	-0.15788582581727403	0.004774522872801744
Rotation-B 1-16	0.00017467998637933575	-0.04892448978138582	0.19882979616626295
Rotation-C 1-16	-0.00017810210964438076	-0.2052640138317896	-0.06947088723013932
Distance 1-2	1.3399260260548407	1.3833544320687639	1.5097061841699353
Distance 1-6	1.087189265063954	1.0841353744014885	1.0990255091907324
Distance 1-7	1.0863365732154446	1.087420660719972	1.1020396976427573
Distance 1-11	4.274128562570374	2.286882703253706	1.5371960639804516
Distance 2-3	1.4703446289299158	1.4056662235280963	1.337026417737804
Distance 2-5	1.0908124923766425	1.0890126758206915	1.0897552177911491
Distance 3-4	1.3394192817080248	1.3839258292602747	1.5096030540144731
Distance 3-10	1.0906839533312158	1.0891711917488454	1.0897292055682735
Distance 4-8	1.0864858450830255	1.0874835313367064	1.0990343840972967
Distance 4-9	1.0871842022893143	1.0841891501621315	1.1019704361190579
Distance 4-12	3.993255322321186	2.2524252249804038	1.5370641842142458
Distance 11-12	1.3317756490529713	1.3862236129914318	1.53531451558245
Distance 11-13	1.087621968099827	1.086633864966913	1.0990148059348182
Distance 11-14	1.0877009740837433	1.0838376826087512	1.0971376029925697
Distance 12-15	1.0873682295916443	1.084553359294166	1.0991730616220154
Distance 12-16	1.0877028982752772	1.086519494678712	1.0970889568309992
Angle 2-1-7	2.119370875951953	2.0928496224144024	1.90896369591845
Angle 2-1-11	1.9899036268942567	1.7927740303091964	1.956473439238045
Angle 6-1-7	2.039178316427983	1.9994944635611176	1.8388157088549795
Angle 6-1-11	0.8908421778604161	1.468645201330804	1.9207501783993526
Angle 7-1-11	1.7887315312861582	1.8236908952852342	1.9200751162637115
Angle 1-2-5	2.0678435166208	2.071465872295003	2.041311987163301
Angle 3-2-5	2.017616633126699	2.058669324648254	2.0855708317882207
Angle 2-3-10	2.0158750997335364	2.0595207818196295	2.085316451549282
Angle 4-3-10	2.070627135230526	2.0714269964847807	2.0421059780239728
Angle 3-4-9	2.1296315949862175	2.1032715424745185	1.91042417619832
Angle 8-4-9	2.0384900895244167	1.995320074984023	1.8393141611030874
Angle 8-4-12	2.1976058086964514	1.8227720867500212	1.9206897409770465
Angle 9-4-12	0.4723708319140292	1.4916834267472598	1.91965978375074
Angle 1-11-13	2.760940495395576	1.6011614437444535	1.9050851767775743
Angle 1-11-14	1.0069450610696133	1.5697795208206464	1.9225149853936379
Angle 12-11-14	2.125419016597547	2.1019223797892823	1.9325757237522776
Angle 13-11-14	2.0285745233567716	2.0115209744846867	1.8622163920331303
Angle 4-12-11	1.830491634555773	1.9036602449777393	1.935558893141915
Angle 4-12-15	1.0927978048320197	1.6181549232709542	1.9049922545476436
Angle 4-12-16	1.759036409210512	1.573798262684217	1.9231968511739075
Angle 11-12-16	2.124855351544636	2.0952735869510746	1.9329761002557553
Angle 15-12-16	2.0324944273969843	2.0074654532838916	1.862171222920587
Out-of-Plane 1-2-6-7	-0.010493216453432149	-0.2521288503556123	-0.6302810172389066
Out-of-Plane 2-1-3-5	0.015802217055198266	-0.12802484591946406	0.0012272522763894492
Out-of-Plane 3-2-4-10	-0.013320425052000512	-0.13168710660844288	-0.0017593188535137228
Out-of-Plane 4-3-8-9	0.011965429629736998	-0.2568096593617588	-0.6290099492893761
Out-of-Plane 4-3-12-8	-0.19615156182193358	-0.45911606180000003	-0.520499304932989
Out-of-Plane 11-12-1-13	0.18318227718521116	0.5408092637636105	0.5376042677280283
Out-of-Plane 11-12-1-14	-0.1755499655969097	-0.544849176386354	-0.5094619169215701
Out-of-Plane 11-12-13-14	0.0026898876813286053	0.2404891893548152	0.6000410679728284
Out-of-Plane 12-11-15-16	-0.001945617168218001	0.25656408660688784	0.5997934453233247
Dihedral 6-1-2-3	0.03370293370907031	0.5853325092561908	2.3777145556064716
Dihedral 6-1-2-5	-3.0794060476660046	-2.793149808762795	-0.7616543219010614
Dihedral 7-1-2-3	-3.126733973310153	-3.008524070422522	-1.8964555117394974
Dihedral 7-1-2-5	0.043342352494358784	-0.10382108126192145	1.2473609179325562
Dihedral 11-1-2-3	-0.9739679475841888	-0.9979264165832346	0.23803200997491927
Dihedral 11-1-2-5	2.196108378220323	1.906776572577366	-2.901336867532614
Dihedral 2-1-11-12	-0.5817574118403936	0.786103656470833	-0.7658765251567935
Dihedral 2-1-11-13	1.5498495030086428	2.922192282215063	1.331857570134787
Dihedral 2-1-11-14	2.9470611461723806	-1.349288415467509	-2.9121497289674103
Dihedral 6-1-11-12	-2.54242530282047	-1.3118837062609434	-2.9023480997654496
Dihedral 6-1-11-13	-0.41081838797143366	0.8242049194832868	-0.8046140044738694
Dihedral 6-1-11-14	0.9863932551923039	2.835909528980301	1.23456400360352
Dihedral 7-1-11-12	1.7414047545688884	2.9834142901734184	1.362274704903799
Dihedral 7-1-11-13	-2.410173637761661	-1.1636823912619378	-2.823176506984207
Dihedral 7-1-11-14	-1.012961994597924	0.8480222182350761	-0.7839984989068177
Dihedral 1-2-3-4	0.5497917824597036	0.016233667148442144	0.026163868784396516
Dihedral 1-2-3-10	-2.6151907206269964	2.9155364195824403	-3.11869346002326
Dihedral 5-2-3-4	-2.6195632439659144	-2.8901281176444686	-3.1177060368136074
Dihedral 5-2-3-10	0.4986395601269721	0.009174634789529568	0.020621941558322844
Dihedral 2-3-4-8	-3.121923500373118	3.0236439186467523	2.3890627818468237
Dihedral 2-3-4-9	0.0413402756334869	-0.5839837508486342	-1.8832679617941854
Dihedral 2-3-4-12	0.4731151122128906	1.0200190542569911	0.25033200960109825
Dihedral 10-3-4-8	0.04372306607760218	0.12593386489768996	-0.7493401121408702
Dihedral 10-3-4-9	-3.0761984650953798	2.80149150258189	1.2615144513977075
Dihedral 10-3-4-12	-2.644423628515976	-1.877690999492071	-2.8880708843865954
Dihedral 3-4-12-11	-1.9975075231059212	-0.9409676637870216	-0.7776243272501001
Dihedral 3-4-12-15	0.0698845740469108	1.203629736155386	1.3194812032860834
Dihedral 3-4-12-16	2.0653650430295527	-3.0714070210956455	-2.9242432027097753
Dihedral 8-4-12-11	1.6252203397598157	-3.1361500798992044	-2.9135983902629174
Dihedral 8-4-12-15	-2.590572870266939	-0.9915526799567965	-0.8164928597267341
Dihedral 8-4-12-16	-0.5950924012842967	1.0165958699717583	1.222968041456994
Dihedral 9-4-12-11	0.24969377534700682	1.157901150329989	1.350696160927497
Dihedral 9-4-12-15	2.3170858724998387	-2.9806867569071898	-2.835383615715906
Dihedral 9-4-12-16	-1.9706189656971058	-0.9725382069786347	-0.7959227145321779
Dihedral 1-11-12-4	0.7870255945684654	0.08542697688689808	1.0568645065185494
Dihedral 1-11-12-15	-0.37738885506120556	-1.743974158891232	-1.0413045179150358
Dihedral 1-11-12-16	2.7607051053911795	1.8613393661701951	-3.085360222012061
Dihedral 13-11-12-4	-1.9745221051042066	-1.7206110519888091	-1.0419918880451648
Dihedral 13-11-12-15	-3.1389365547338777	2.733173119412647	-3.1401609124787497
